"BehaviorSpace results (NetLogo 6.2.1)"
"Attack-vs-giant-component.nlogo"
"evol-ataque"
"03/23/2022 14:17:23:515 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","tipo-ataque","num-ataques","tipo-red","num-nodos","[step]","num-comp","max-tam"
"8","aleatorio","50","aleatoria","500","21","18","407"
"2","aleatorio","50","aleatoria","500","23","24","343"
"5","aleatorio","50","aleatoria","500","46","44","157"
"7","aleatorio","50","aleatoria","500","25","22","440"
"8","aleatorio","50","aleatoria","500","22","18","406"
"4","aleatorio","50","aleatoria","500","35","44","319"
"2","aleatorio","50","aleatoria","500","24","24","342"
"5","aleatorio","50","aleatoria","500","47","44","157"
"7","aleatorio","50","aleatoria","500","26","22","439"
"8","aleatorio","50","aleatoria","500","23","18","405"
"4","aleatorio","50","aleatoria","500","36","44","319"
"2","aleatorio","50","aleatoria","500","25","26","337"
"5","aleatorio","50","aleatoria","500","48","47","153"
"7","aleatorio","50","aleatoria","500","27","22","438"
"8","aleatorio","50","aleatoria","500","24","18","404"
"5","aleatorio","50","aleatoria","500","49","48","150"
"2","aleatorio","50","aleatoria","500","26","28","332"
"7","aleatorio","50","aleatoria","500","28","22","437"
"8","aleatorio","50","aleatoria","500","25","18","403"
"5","aleatorio","50","aleatoria","500","50","48","149"
"2","aleatorio","50","aleatoria","500","27","28","332"
"7","aleatorio","50","aleatoria","500","29","22","436"
"8","aleatorio","50","aleatoria","500","26","20","396"
"2","aleatorio","50","aleatoria","500","28","35","277"
"6","aleatorio","50","aleatoria","500","24","25","332"
"8","aleatorio","50","aleatoria","500","27","23","391"
"2","aleatorio","50","aleatoria","500","29","35","276"
"7","aleatorio","50","aleatoria","500","30","23","434"
"8","aleatorio","50","aleatoria","500","28","24","389"
"6","aleatorio","50","aleatoria","500","25","25","332"
"2","aleatorio","50","aleatoria","500","30","35","276"
"7","aleatorio","50","aleatoria","500","31","23","433"
"9","aleatorio","50","aleatoria","500","0","1","500"
"8","aleatorio","50","aleatoria","500","29","24","388"
"2","aleatorio","50","aleatoria","500","31","35","275"
"9","aleatorio","50","aleatoria","500","1","1","499"
"7","aleatorio","50","aleatoria","500","32","27","426"
"1","aleatorio","50","aleatoria","500","38","37","383"
"6","aleatorio","50","aleatoria","500","26","25","331"
"8","aleatorio","50","aleatoria","500","30","24","387"
"4","aleatorio","50","aleatoria","500","37","44","318"
"2","aleatorio","50","aleatoria","500","32","37","275"
"3","aleatorio","50","aleatoria","500","18","21","247"
"6","aleatorio","50","aleatoria","500","27","25","330"
"9","aleatorio","50","aleatoria","500","2","1","498"
"1","aleatorio","50","aleatoria","500","39","37","382"
"7","aleatorio","50","aleatoria","500","33","28","423"
"2","aleatorio","50","aleatoria","500","33","37","274"
"6","aleatorio","50","aleatoria","500","28","25","329"
"8","aleatorio","50","aleatoria","500","31","25","351"
"4","aleatorio","50","aleatoria","500","38","44","318"
"3","aleatorio","50","aleatoria","500","19","21","247"
"1","aleatorio","50","aleatoria","500","40","38","380"
"9","aleatorio","50","aleatoria","500","3","3","494"
"6","aleatorio","50","aleatoria","500","29","26","327"
"7","aleatorio","50","aleatoria","500","34","28","422"
"3","aleatorio","50","aleatoria","500","20","26","247"
"2","aleatorio","50","aleatoria","500","34","37","273"
"1","aleatorio","50","aleatoria","500","41","38","379"
"8","aleatorio","50","aleatoria","500","32","25","351"
"4","aleatorio","50","aleatoria","500","39","48","318"
"9","aleatorio","50","aleatoria","500","4","3","493"
"6","aleatorio","50","aleatoria","500","30","26","326"
"3","aleatorio","50","aleatoria","500","21","26","246"
"9","aleatorio","50","aleatoria","500","5","3","492"
"8","aleatorio","50","aleatoria","500","33","25","351"
"4","aleatorio","50","aleatoria","500","40","49","316"
"6","aleatorio","50","aleatoria","500","31","26","325"
"7","aleatorio","50","aleatoria","500","35","28","421"
"9","aleatorio","50","aleatoria","500","6","6","414"
"2","aleatorio","50","aleatoria","500","35","40","266"
"3","aleatorio","50","aleatoria","500","22","26","245"
"9","aleatorio","50","aleatoria","500","7","7","412"
"6","aleatorio","50","aleatoria","500","32","26","324"
"4","aleatorio","50","aleatoria","500","41","50","309"
"8","aleatorio","50","aleatoria","500","34","26","349"
"1","aleatorio","50","aleatoria","500","42","39","377"
"2","aleatorio","50","aleatoria","500","36","39","266"
"6","aleatorio","50","aleatoria","500","33","28","321"
"4","aleatorio","50","aleatoria","500","42","50","308"
"1","aleatorio","50","aleatoria","500","43","39","376"
"3","aleatorio","50","aleatoria","500","23","27","242"
"8","aleatorio","50","aleatoria","500","35","27","349"
"6","aleatorio","50","aleatoria","500","34","28","320"
"4","aleatorio","50","aleatoria","500","43","51","306"
"1","aleatorio","50","aleatoria","500","44","39","375"
"3","aleatorio","50","aleatoria","500","24","27","242"
"8","aleatorio","50","aleatoria","500","36","28","346"
"6","aleatorio","50","aleatoria","500","35","28","319"
"1","aleatorio","50","aleatoria","500","45","39","374"
"4","aleatorio","50","aleatoria","500","44","52","303"
"3","aleatorio","50","aleatoria","500","25","27","241"
