"BehaviorSpace results (NetLogo 6.2.1)"
"DistSocialLegara.nlogo"
"dist-social"
"03/29/2022 16:01:46:531 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","pob-total","porcentaje-distancia-social","num-días","alpha","beta","prob-infección-dist-social","[step]","nuevos-infectados / pob-total"
"9","2000","60","30","40","10","0","9","0.036"
"12","2000","60","30","40","10","90","1","0.001"
"11","2000","60","30","40","10","60","1","0.0015"
"12","2000","60","30","40","10","90","2","0.001"
"11","2000","60","30","40","10","60","2","0.0025"
"12","2000","60","30","40","10","90","3","0.0025"
"11","2000","60","30","40","10","60","3","0.0075"
"12","2000","60","30","40","10","90","4","0.0085"
"11","2000","60","30","40","10","60","4","0.018"
"12","2000","60","30","40","10","90","5","0.016"
"11","2000","60","30","40","10","60","5","0.0405"
"10","2000","60","30","40","10","20","9","0.072"
"12","2000","60","30","40","10","90","6","0.028"
"9","2000","60","30","40","10","0","10","0.007"
"2","2000","1","30","40","10","20","22","0"
"9","2000","60","30","40","10","0","11","5.0E-4"
"12","2000","60","30","40","10","90","7","0.0545"
"11","2000","60","30","40","10","60","6","0.083"
"10","2000","60","30","40","10","20","10","0.0135"
"11","2000","60","30","40","10","60","7","0.1575"
"12","2000","60","30","40","10","90","8","0.0725"
"12","2000","60","30","40","10","90","9","0.1035"
"9","2000","60","30","40","10","0","12","0"
"11","2000","60","30","40","10","60","8","0.2165"
"10","2000","60","30","40","10","20","11","0.0015"
"2","2000","1","30","40","10","20","23","0"
"10","2000","60","30","40","10","20","12","5.0E-4"
"11","2000","60","30","40","10","60","9","0.2065"
"9","2000","60","30","40","10","0","13","0"
"12","2000","60","30","40","10","90","10","0.099"
"12","2000","60","30","40","10","90","11","0.0795"
"10","2000","60","30","40","10","20","13","0"
"2","2000","1","30","40","10","20","24","0"
"11","2000","60","30","40","10","60","10","0.14"
"12","2000","60","30","40","10","90","12","0.0705"
"9","2000","60","30","40","10","0","14","0"
"10","2000","60","30","40","10","20","14","0"
"12","2000","60","30","40","10","90","13","0.058"
"11","2000","60","30","40","10","60","11","0.068"
"2","2000","1","30","40","10","20","25","0"
"12","2000","60","30","40","10","90","14","0.0375"
"11","2000","60","30","40","10","60","12","0.031"
"10","2000","60","30","40","10","20","15","0"
"9","2000","60","30","40","10","0","15","0"
"9","2000","60","30","40","10","0","16","0"
"12","2000","60","30","40","10","90","15","0.039"
"11","2000","60","30","40","10","60","13","0.0135"
"2","2000","1","30","40","10","20","26","0"
"12","2000","60","30","40","10","90","16","0.0395"
"9","2000","60","30","40","10","0","17","0"
"10","2000","60","30","40","10","20","16","0"
"11","2000","60","30","40","10","60","14","0.0085"
"12","2000","60","30","40","10","90","17","0.0355"
"9","2000","60","30","40","10","0","18","0"
"2","2000","1","30","40","10","20","27","0"
"11","2000","60","30","40","10","60","15","0.0015"
"10","2000","60","30","40","10","20","17","0"
"9","2000","60","30","40","10","0","19","0"
"12","2000","60","30","40","10","90","18","0.0395"
"12","2000","60","30","40","10","90","19","0.035"
"2","2000","1","30","40","10","20","28","0"
"12","2000","60","30","40","10","90","20","0.027"
"10","2000","60","30","40","10","20","18","0"
"9","2000","60","30","40","10","0","20","0"
"11","2000","60","30","40","10","60","16","0"
"12","2000","60","30","40","10","90","21","0.022"
"9","2000","60","30","40","10","0","21","0"
"10","2000","60","30","40","10","20","19","0"
"11","2000","60","30","40","10","60","17","0"
"2","2000","1","30","40","10","20","29","0"
"10","2000","60","30","40","10","20","20","0"
"11","2000","60","30","40","10","60","18","0"
